id,years_worked,victime_race,count_arrests,officer_race,officer_rank,count_allegations
11371,39,,15,White,Police Officer,15
11394,39,Black,7,White,Police Officer,7
11394,39,,72,White,Police Officer,73
11405,39,,6,White,Detective,6
11955,39,,8,White,Detective,8
12332,39,Black,3,White,Police Officer,3
12332,39,,19,White,Police Officer,19
12366,39,,4,White,Police Officer,4
12476,39,,18,White,Detective,18
12729,39,,2,Black,Police Officer,2
13407,39,,4,White,Police Officer,4
14158,39,,6,White,Sergeant,6
14381,39,,4,White,Police Officer,4
14984,39,,13,White,Detective,13
15364,39,,2,White,Sergeant,2
15364,39,Black,2,White,Sergeant,2
15364,39,White,2,White,Sergeant,2
15364,39,,5,White,Sergeant,5
15381,39,Black,2,White,Police Officer,2
15381,39,,2,White,Police Officer,2
15624,39,,6,White,Detective,6
15656,39,Black,4,White,Police Officer,4
15656,39,,2,White,Police Officer,2
15818,39,,26,White,Sergeant,26
15864,39,,20,White,Police Officer,20
15924,39,Black,4,White,Police Officer,4
15924,39,,14,White,Police Officer,14
16102,39,White,1,White,Detective,1
16102,39,,1,White,Detective,1
16689,39,,2,White,Police Officer,2
16707,39,Black,2,White,Police Officer,2
16707,39,,12,White,Police Officer,12
16814,39,,11,White,Police Officer,11
17038,39,,4,White,Police Officer,4
17187,39,,2,White,Police Officer,2
17255,39,,7,White,Lieutenant,7
17505,39,Black,2,White,Sergeant,2
17516,39,Black,2,Black,Police Officer,2
17516,39,,6,Black,Police Officer,6
17784,39,,2,White,Police Officer,2
17795,39,Black,1,White,Chief,1
17795,39,,4,White,Chief,4
17865,39,,3,White,Sergeant,3
18229,39,,2,White,Police Officer,2
18284,39,,2,White,Detective,2
18356,39,,20,White,Sergeant,20
18467,39,,3,White,Police Officer,3
18480,39,,4,White,Deputy Chief,4
18691,39,,13,White,Police Officer,13
18944,39,,13,White,Detective,13
18965,39,,7,White,Police Officer,7
19061,39,,5,White,Police Officer,5
19071,39,White,1,White,Detective,1
19071,39,,3,White,Detective,3
19315,39,,1,White,Police Officer,1
19826,39,,7,White,Sergeant,7
20011,39,Black,2,White,Lieutenant,2
20011,39,,15,White,Lieutenant,15
20363,39,Black,5,White,Police Officer,5
20363,39,,2,White,Police Officer,2
20598,39,,9,White,Captain,9
20925,39,Asian/Pacific Islander,2,White,Sergeant,2
20925,39,Black,3,White,Sergeant,3
20925,39,Hispanic,4,White,Sergeant,4
20925,39,,18,White,Sergeant,18
20979,39,,4,White,Sergeant,4
21185,39,,2,White,,2
21259,39,Black,2,White,Lieutenant,2
21297,39,White,2,White,Police Officer,2
21297,39,,3,White,Police Officer,3
21355,39,Black,1,White,Sergeant,1
21355,39,,20,White,Sergeant,20
21826,39,,2,White,Sergeant,2
21945,39,Black,1,White,Police Officer,1
21945,39,,10,White,Police Officer,10
21961,39,,2,Black,Sergeant,2
22217,39,Black,3,White,Police Officer,3
22217,39,,11,White,Police Officer,11
22368,39,,23,White,Police Officer,23
22372,39,,14,White,Deputy Superintendent,14
22493,39,Black,2,White,Lieutenant,2
22493,39,White,2,White,Lieutenant,2
22493,39,,29,White,Lieutenant,29
22728,39,,8,White,Police Officer,8
22746,39,Black,5,White,Lieutenant,5
22746,39,,10,White,Lieutenant,10
22857,39,White,2,Black,Sergeant,2
22857,39,,19,Black,Sergeant,19
22871,39,Black,4,White,Police Officer,4
22871,39,,24,White,Police Officer,24
22970,39,,4,Hispanic,Other,4
22986,39,,7,White,Detective,7
23098,39,Hispanic,2,White,Police Officer,2
23098,39,,10,White,Police Officer,10
23306,39,,5,White,Police Officer,5
23339,39,Black,2,White,Sergeant,2
23339,39,,5,White,Sergeant,5
23504,39,,7,White,Sergeant,7
23681,39,Black,2,White,Captain,2
23681,39,,6,White,Captain,6
23733,39,Black,4,White,Police Officer,4
23733,39,White,2,White,Police Officer,2
23733,39,,51,White,Police Officer,51
23743,39,,6,White,Police Officer,6
23801,39,,1,White,Police Officer,1
24240,39,Black,4,White,Police Officer,4
24240,39,,9,White,Police Officer,9
24638,39,,14,Black,Police Officer,14
24741,39,,4,White,Sergeant,4
24771,39,,2,White,Deputy Chief,2
25236,39,Black,1,White,Sergeant,1
25236,39,White,1,White,Sergeant,1
25236,39,,12,White,Sergeant,12
25696,39,Black,6,White,Police Officer,6
25696,39,,9,White,Police Officer,9
25743,39,,7,White,Detective,7
25812,39,,10,White,Police Officer,10
26160,39,,5,White,Police Officer,5
26198,39,Black,2,White,Police Officer,2
26198,39,,2,White,Police Officer,2
26409,39,,7,Black,Police Officer,7
26453,39,,4,White,Police Officer,4
26546,39,,2,White,Captain,2
26657,39,,39,White,Sergeant,39
27350,39,,1,White,Police Officer,1
27354,39,,6,White,Police Officer,6
27578,39,,15,White,Sergeant,15
27734,39,,6,White,Police Officer,6
27805,39,Black,2,White,Detective,2
27825,39,,2,White,Police Officer,2
27851,39,Black,1,White,Lieutenant,1
27851,39,,3,White,Lieutenant,3
27938,39,,6,Black,Sergeant,6
27976,39,,4,White,Lieutenant,4
28509,39,,8,White,Police Officer,8
28677,39,,4,White,Police Officer,4
29140,39,Hispanic,2,Black,Detective,2
29140,39,,31,Black,Detective,31
29201,39,,5,White,Police Officer,5
29207,39,,28,White,Captain,28
29655,39,Black,2,White,Police Officer,2
29655,39,,3,White,Police Officer,3
29869,39,,1,White,Captain,1
29869,39,Black,1,White,Captain,1
29869,39,White,1,White,Captain,1
29869,39,,16,White,Captain,16
30560,39,,4,White,Commander,4
30560,39,Black,9,White,Commander,9
30560,39,Hispanic,2,White,Commander,2
30560,39,White,2,White,Commander,2
30560,39,,19,White,Commander,19
30564,39,White,2,White,Commander,2
30564,39,,8,White,Commander,8
30696,39,Black,1,White,Sergeant,1
30696,39,Hispanic,5,White,Sergeant,5
30696,39,,19,White,Sergeant,19
31115,39,Black,2,White,Assistant Deputy Superintendent,2
31115,39,White,2,White,Assistant Deputy Superintendent,2
31115,39,,2,White,Assistant Deputy Superintendent,2
31282,39,,9,White,Police Officer,9
31335,39,,2,White,Detective,2
31649,39,Black,2,Hispanic,Police Officer,2
31649,39,,6,Hispanic,Police Officer,6
31671,39,,5,White,Police Officer,5
33056,39,,1,Unknown,,1
33056,39,Black,4,Unknown,,4
33056,39,Hispanic,1,Unknown,,1
33056,39,,14,Unknown,,14
91,38,Black,2,White,Detective,2
91,38,Hispanic,1,White,Detective,1
91,38,,26,White,Detective,26
322,38,,2,White,Commander,2
513,38,White,2,White,Police Officer,2
513,38,,3,White,Police Officer,3
798,38,,6,Hispanic,Sergeant,6
870,38,Black,2,Hispanic,Sergeant,2
870,38,Hispanic,2,Hispanic,Sergeant,2
870,38,White,2,Hispanic,Sergeant,2
870,38,,12,Hispanic,Sergeant,12
1030,38,,16,White,Police Officer,16
1122,38,,13,White,Police Officer,13
1530,38,,4,White,Police Officer,4
1637,38,,4,White,Lieutenant,4
1821,38,,2,White,Detective,2
1889,38,Black,3,White,Detective,3
1889,38,Hispanic,2,White,Detective,2
1889,38,,9,White,Detective,9
2178,38,White,1,White,Lieutenant,1
2178,38,,8,White,Lieutenant,8
2353,38,Black,2,Black,Sergeant,2
2353,38,,74,Black,Sergeant,74
2382,38,,5,Black,Police Officer,5
2402,38,,7,White,Detective,7
2887,38,,3,White,Police Officer,3
2914,38,Black,2,White,Sergeant,2
2914,38,,10,White,Sergeant,10
2934,38,,2,White,Sergeant,2
2951,38,,10,White,Police Officer,10
3144,38,,1,White,Police Officer,1
3184,38,,12,White,Police Officer,12
3232,38,Hispanic,2,White,Detective,2
3232,38,,2,White,Detective,2
3236,38,,2,White,Detective,2
3236,38,,1,White,Detective,1
3307,38,,2,White,Police Officer,2
3307,38,Black,4,White,Police Officer,4
3307,38,Hispanic,2,White,Police Officer,2
3307,38,,71,White,Police Officer,72
3438,38,,7,Black,Commander,7
3794,38,,6,White,Lieutenant,6
4439,38,Black,1,White,Police Officer,1
4439,38,Hispanic,2,White,Police Officer,2
4439,38,,3,White,Police Officer,3
4532,38,,10,White,Police Officer,10
4617,38,,9,White,Police Officer,9
4767,38,Black,2,Black,Police Officer,2
4767,38,,6,Black,Police Officer,6
